,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
51,Natitingou,10.3042,1.3796,96.1,15,10,3.22,BJ,1587060000
52,Krasnosel'kup,65.7,82.4667,30.63,98,100,6.2,RU,1587060000
53,Cockburn Town,21.4612,-71.1419,79.39,80,7,16.42,TC,1587060000
54,Mataura,-46.1927,168.8643,45.64,87,99,2.98,NZ,1587060000
55,Qaanaaq,77.484,-69.3632,16.29,84,78,3.18,GL,1587060000
56,Butaritari,3.0707,172.7902,83.32,76,93,14.88,KI,1587060000
57,Trairi,-3.2778,-39.2689,84.78,73,43,8.41,BR,1587060000
58,San Patricio,19.2167,-104.7,83.97,37,26,6.31,MX,1587060000
59,Mossendjo,-2.9506,12.7261,73.71,86,100,2.93,CG,1587060000
60,New Norfolk,-42.7826,147.0587,46.87,81,83,10.92,AU,1587060000
61,Nioro,13.35,-15.75,102.78,16,18,9.24,GM,1587060000
62,Atbasar,51.8,68.3333,48.15,47,74,8.95,KZ,1587060000
63,Dudinka,69.4058,86.1778,21.52,96,69,7.81,RU,1587060000
64,Iqaluit,63.7506,-68.5145,15.98,92,92,10.47,CA,1587060000
65,Kaitangata,-46.2817,169.8464,47.26,78,100,3.83,NZ,1587060000
66,Camalú,30.85,-116.0667,71.04,35,0,9.62,MX,1587060000
67,Sergeevka,53.88,67.4158,49.95,48,100,12.15,KZ,1587060000
68,Dikson,73.5069,80.5464,0.52,85,14,8.32,RU,1587060000
69,Luzhou,28.8724,105.4405,75.42,54,96,1.43,CN,1587060000
70,Saint-Philippe,-21.3585,55.7679,77.04,76,11,22.39,RE,1587060000
71,Guerrero Negro,27.9769,-114.0611,73.8,30,55,9.19,MX,1587060000
72,Puerto Ayora,-0.7393,-90.3518,81.46,78,48,13.31,EC,1587060000
73,Sur,22.5667,59.5289,84.52,41,78,8.9,OM,1587060000
74,Richards Bay,-28.783,32.0377,71.47,78,36,8.05,ZA,1587060000
75,Swan River,52.1058,-101.2676,28.31,90,75,7.07,CA,1587060000
76,Barrow,71.2906,-156.7887,18.97,97,99,5.84,US,1587060000
77,Fomboni,-12.28,43.7425,83.44,74,42,8.3,KM,1587060000
78,Gamba,-2.65,10.0,79.72,85,100,8.41,GA,1587060000
79,Bethel,41.3712,-73.414,46.33,51,15,13.91,US,1587060000
80,Carnarvon,-24.8667,113.6333,80.53,57,1,11.3,AU,1587060000
81,Makkah al Mukarramah,21.4267,39.8261,72.88,41,0,4.56,SA,1587060000
82,Dunedin,-45.8742,170.5036,49.1,72,96,4.21,NZ,1587060000
83,Shouguang,36.88,118.7375,58.26,43,3,10.0,CN,1587060000
84,Cape Town,-33.9258,18.4232,64.58,79,20,8.12,ZA,1587060000
85,Davenda,53.5556,119.317,35.42,62,2,2.8,RU,1587060000
86,Isangel,-19.55,169.2667,77.95,82,78,17.09,VU,1587060000
87,Bānsi,27.1833,82.9333,79.81,38,38,5.21,IN,1587060000
88,Margate,51.3813,1.3862,55.49,80,67,11.25,GB,1587060000
89,Sitrah,26.1547,50.6206,74.61,62,0,3.76,BH,1587060000
90,Aswān,24.0934,32.907,82.63,16,26,6.38,EG,1587060000
91,Arraial do Cabo,-22.9661,-42.0278,77.94,83,100,11.56,BR,1587060000
92,Avarua,-21.2078,-159.775,78.17,61,100,6.13,CK,1587060000
93,Severo-Kuril'sk,50.6789,156.125,30.2,95,100,14.12,RU,1587060000
94,Kieta,-6.2167,155.6333,79.63,81,98,9.78,PG,1587060000
95,Vitim,59.4511,112.5578,24.48,93,85,9.89,RU,1587060000
96,Port Alfred,-33.5906,26.891,63.18,70,33,7.52,ZA,1587060000
97,Lingao,19.9103,109.6859,72.86,85,89,10.85,CN,1587060000
98,Lüderitz,-26.6481,15.1594,66.43,61,90,23.04,NA,1587060000
99,Yellowknife,62.456,-114.3525,29.73,97,100,7.92,CA,1587060000
100,Nicoya,10.1483,-85.452,97.45,35,69,6.26,CR,1587060000
101,Bluff,-46.6,168.3333,46.22,82,100,7.05,NZ,1587060000
102,Panabá,21.2833,-88.2667,96.06,33,74,4.76,MX,1587060000
103,Tuktoyaktuk,69.4541,-133.0374,27.27,98,100,13.76,CA,1587060000
104,Okahandja,-21.9833,16.9167,68.22,13,0,6.31,NA,1587060000
105,Longyearbyen,78.2186,15.6401,31.03,94,55,4.65,SJ,1587060000
106,East London,-33.0153,27.9116,67.26,56,63,4.59,ZA,1587060000
107,Severobaykal'sk,55.65,109.3167,31.95,69,41,1.21,RU,1587060000
108,Portland,45.5234,-122.6762,62.65,30,0,9.8,US,1587060000
109,Ponta do Sol,32.6667,-17.1,64.99,68,46,21.12,PT,1587060000
110,Yaguajay,22.3272,-79.2378,88.75,49,41,8.25,CU,1587060000
111,Diffa,13.3154,12.6113,85.53,10,0,7.54,NE,1587060000
112,Mehamn,71.0357,27.8492,34.0,88,100,8.48,NO,1587060000
113,Anadyr,64.75,177.4833,16.72,97,88,8.52,RU,1587060000
114,Thunder Bay,48.4001,-89.3168,35.42,75,99,10.83,CA,1587060000
115,Tatarsk,55.219,75.9828,44.46,74,35,7.92,RU,1587060000
116,Acará,-1.9608,-48.1967,86.65,69,85,1.41,BR,1587060000
117,Vildbjerg,56.2,8.7667,45.21,61,0,14.34,DK,1587060000
118,Kruisfontein,-34.0033,24.7314,57.18,70,0,5.12,ZA,1587060000
119,Bambous Virieux,-20.3428,57.7575,77.14,70,18,21.61,MU,1587060000
120,Lavrentiya,65.5833,-171.0,23.72,97,100,11.45,RU,1587060000
121,Alta Floresta,-9.8756,-56.0861,79.41,81,91,2.33,BR,1587060000
122,Athens,37.9795,23.7162,57.25,50,0,10.58,GR,1587060000
123,Palmer,42.1584,-72.3287,44.1,50,36,12.77,US,1587060000
124,Carutapera,-1.195,-46.02,83.03,72,87,1.34,BR,1587060000
125,Makat,47.6469,53.3463,51.71,54,100,7.14,KZ,1587060000
126,Poronaysk,49.2167,143.1167,30.6,92,0,2.98,RU,1587060000
127,Pisco,-13.7,-76.2167,80.64,52,13,10.47,PE,1587060000
128,Eenhana,-17.4667,16.3333,83.77,31,60,3.18,NA,1587060000
129,Sayyan,15.1718,44.3244,61.9,36,40,1.77,YE,1587060000
130,Hobart,-42.8794,147.3294,49.28,76,76,17.09,AU,1587060000
131,Hilo,19.7297,-155.09,73.78,61,60,7.96,US,1587060000
132,Mar del Plata,-38.0023,-57.5575,63.21,65,18,5.99,AR,1587060000
133,Kavieng,-2.5744,150.7967,79.97,82,100,11.52,PG,1587060000
134,Urengoy,65.9667,78.3667,28.15,98,100,5.23,RU,1587060000
135,Narón,43.5167,-8.1528,58.8,82,100,5.75,ES,1587060000
136,Chongwe,-15.3292,28.682,70.3,52,27,2.46,ZM,1587060000
137,Zhiryatino,53.2228,33.7306,43.75,76,91,15.86,RU,1587060000
138,Olinda,-8.0089,-34.8553,86.13,61,100,9.1,BR,1587060000
139,Cherskiy,68.75,161.3,2.25,93,76,1.39,RU,1587060000
140,Iskateley,67.6803,53.1512,35.55,91,100,16.58,RU,1587060000
141,Shimoda,34.6667,138.95,54.84,81,97,16.37,JP,1587060000
142,Jalu,29.0331,21.5482,76.3,23,96,9.28,LY,1587060000
143,Morro Agudo,-20.7314,-48.0578,78.89,62,39,3.96,BR,1587060000
144,Mahébourg,-20.4081,57.7,76.8,70,17,20.6,MU,1587060000
145,Kaeo,-35.1,173.7833,63.03,84,99,12.5,NZ,1587060000
146,Grindavik,63.8424,-22.4338,43.56,87,89,18.34,IS,1587060000
147,Verkhnetulomskiy,68.6073,31.7962,33.53,94,99,6.87,RU,1587060000
148,Hong Kong,22.2855,114.1577,71.47,82,28,5.26,HK,1587060000
149,Ribeira Grande,38.5167,-28.7,63.37,71,37,12.8,PT,1587060000
150,Lagos,6.5833,3.75,85.33,77,37,13.24,NG,1587060000
151,Chernyshevskiy,63.0128,112.4714,10.99,93,0,5.88,RU,1587060000
152,Fairbanks,64.8378,-147.7164,38.44,89,100,5.84,US,1587060000
153,Marawi,7.9986,124.2928,68.52,73,45,3.51,PH,1587060000
154,Samarai,-10.6167,150.6667,79.9,84,56,5.61,PG,1587060000
155,Khatanga,71.9667,102.5,-0.44,89,0,9.86,RU,1587060000
156,Tayu,-6.5397,111.0518,80.35,79,87,2.46,ID,1587060000
157,Mīzan Teferī,6.9833,35.5833,64.65,63,93,3.98,ET,1587060000
158,Havre-St-Pierre,50.2334,-63.5986,29.88,86,77,22.53,CA,1587060000
159,Alice Springs,-23.7,133.8833,70.03,38,85,11.21,AU,1587060000
160,Kautokeino,69.0125,23.0412,23.22,91,77,8.34,NO,1587060000
161,Airai,-8.9266,125.4092,61.65,69,99,3.27,TL,1587060000
162,Pacific Grove,36.6177,-121.9166,56.7,77,92,6.46,US,1587060000
163,Kumul,42.8,93.45,66.29,22,100,10.83,CN,1587060000
164,Saldanha,-33.0117,17.9442,62.22,90,18,10.09,ZA,1587060000
165,Ruska Poliana,49.417,31.9201,55.26,55,92,16.17,UA,1587060000
166,Prince George,53.9166,-122.753,47.25,52,0,4.99,CA,1587060000
167,Salalah,17.0151,54.0924,82.89,62,0,3.44,OM,1587060000
168,Lompoc,34.6391,-120.4579,62.37,69,13,7.16,US,1587060000
169,Paducah,37.0834,-88.6001,58.62,48,2,8.84,US,1587060000
170,Provideniya,64.3833,-173.3,25.11,96,100,14.38,RU,1587060000
171,Yilan,24.757,121.753,72.09,56,1,11.74,TW,1587060000
172,Alta,69.9689,23.2717,32.86,93,87,3.38,NO,1587060000
173,Sokolo,14.7328,-6.1219,98.89,21,8,6.29,ML,1587060000
174,The Valley,18.217,-63.0578,82.9,74,10,14.67,AI,1587060000
175,Chulym,55.0997,80.9572,36.57,81,0,5.46,RU,1587060000
176,Faya,18.3851,42.4509,64.44,37,2,6.06,SA,1587060000
177,Lagoa,39.05,-27.9833,59.14,79,67,18.86,PT,1587060000
178,Dogondoutchi,13.6393,4.0287,96.76,8,12,7.92,NE,1587060000
179,Stromness,58.965,-3.296,47.32,70,87,3.33,GB,1587060000
180,Asău,46.4333,26.4,53.67,55,32,6.78,RO,1587060000
181,Nikolskoye,59.7035,30.7861,36.99,79,29,8.12,RU,1587060000
182,Bilibino,68.0546,166.4372,6.84,87,95,1.68,RU,1587060000
183,São José da Coroa Grande,-8.8978,-35.1478,83.25,74,99,9.4,BR,1587060000
184,Fortuna,40.5982,-124.1573,65.97,57,2,4.18,US,1587060000
185,São João da Barra,-21.6403,-41.0511,79.57,80,77,10.11,BR,1587060000
186,Constitución,-35.3333,-72.4167,66.42,44,53,4.54,CL,1587060000
187,Broome,42.2506,-75.833,37.47,63,40,12.91,US,1587060000
188,Geraldton,-28.7667,114.6,72.79,51,100,10.2,AU,1587060000
189,Buchanan,5.8808,-10.0467,86.67,75,64,9.24,LR,1587060000
190,Cidreira,-30.1811,-50.2056,70.7,61,18,15.93,BR,1587060000
191,Coyhaique,-45.5752,-72.0662,58.32,74,100,5.41,CL,1587060000
192,Yulara,-25.2406,130.9889,72.5,35,90,12.53,AU,1587060000
193,Jamestown,42.097,-79.2353,32.94,72,74,16.69,US,1587060000
194,Marabu,4.4148,114.0089,78.21,90,95,5.35,MY,1587060000
195,Puerto Colombia,10.9878,-74.9547,85.71,76,0,22.82,CO,1587060000
196,Shīeli,44.1667,66.75,58.21,35,0,8.79,KZ,1587060000
197,Jiblah,13.9216,44.1467,64.45,51,49,0.87,YE,1587060000
198,Vardø,70.3705,31.1107,36.07,91,100,12.35,NO,1587060000
199,Avera,33.194,-82.5271,68.56,36,1,4.85,US,1587060000
200,Teknāf,20.8624,92.3058,77.59,85,1,0.98,BD,1587060000
201,La Paz Centro,12.34,-86.6753,98.64,20,14,10.49,NI,1587060000
202,Departamento de Maldonado,-34.6667,-54.9167,67.03,71,42,13.13,UY,1587060000
203,Gouré,13.9835,10.2704,90.64,9,33,11.27,NE,1587060000
204,Tabuk,17.4189,121.4443,73.26,84,88,0.87,PH,1587060000
205,Maniitsoq,65.4167,-52.9,30.11,94,100,27.54,GL,1587060000
206,Ancud,-41.8697,-73.8203,58.8,92,100,23.49,CL,1587060000
207,Upernavik,72.7868,-56.1549,30.25,92,100,8.86,GL,1587060000
208,Hopelchén,19.7667,-89.85,103.03,18,90,4.9,MX,1587060000
209,Quang Ngai,15.1167,108.8,75.87,85,87,7.27,VN,1587060000
210,Clevelândia,-26.3958,-52.4708,64.74,34,0,6.58,BR,1587060000
211,Mandalgovi,45.7625,106.2708,38.66,37,0,1.77,MN,1587060000
212,Alyangula,-13.8483,136.4192,78.58,77,19,4.16,AU,1587060000
213,Staunton,38.1496,-79.0717,52.84,37,0,15.01,US,1587060000
214,Örnsköldsvik,63.2909,18.7153,38.89,77,25,14.76,SE,1587060000
215,Dalnerechensk,45.9339,133.7225,38.68,70,51,5.44,RU,1587060000
216,Turinsk,58.0458,63.696,50.77,56,100,11.34,RU,1587060000
217,Roald,62.5833,6.1333,38.93,74,98,10.74,NO,1587060000
218,Chui,-33.6971,-53.4616,68.18,79,39,12.59,UY,1587060000
219,Bengkulu,-3.8004,102.2655,78.3,82,98,4.59,ID,1587060000
220,Bereda,43.2686,-7.5406,54.23,80,100,4.83,ES,1587060000
221,Husavik,66.0449,-17.3389,42.46,78,82,7.38,IS,1587060000
222,Norman Wells,65.282,-126.8329,38.98,87,100,3.49,CA,1587060000
223,Conakry,9.538,-13.6773,84.94,76,91,12.55,GN,1587060000
224,Tangshan,39.6333,118.1833,48.7,82,70,3.91,CN,1587060000
225,Ardakān,32.31,54.0175,68.52,25,13,7.09,IR,1587060000
226,Mangaratiba,-22.9597,-44.0406,73.78,82,100,5.41,BR,1587060000
227,Port Macquarie,-31.4333,152.9167,66.69,68,9,7.65,AU,1587060000
228,Necochea,-38.5473,-58.7368,69.17,33,29,4.38,AR,1587060000
229,Linxia Chengguanzhen,35.6003,103.2064,48.27,20,91,0.02,CN,1587060000
230,Prainha,-1.8,-53.48,87.94,61,40,1.45,BR,1587060000
231,Mēga,4.05,38.3,65.25,58,84,10.09,ET,1587060000
232,Lusambo,-4.9667,23.45,79.2,62,97,2.93,CD,1587060000
233,Harlow,51.7766,0.1116,58.98,73,74,7.34,GB,1587060000
234,Saint-Pierre,-21.3393,55.4781,77.07,75,11,21.32,RE,1587060000
235,Flin Flon,54.7682,-101.865,30.67,92,83,8.52,CA,1587060000
236,Westport,41.1415,-73.3579,46.94,51,23,15.88,US,1587060000
237,Ilulissat,69.2167,-51.1,35.47,92,100,6.58,GL,1587060000
238,Shestakovo,56.4915,103.96,41.65,80,80,4.7,RU,1587060000
239,Kidodi,-7.6036,37.0044,73.56,81,75,2.64,TZ,1587060000
240,Cayenne,4.9333,-52.3333,85.82,84,83,8.41,GF,1587060000
241,Naze,28.3667,129.4833,62.15,62,24,3.85,JP,1587060000
242,Santa Cruz,30.4202,-9.5982,71.89,39,100,9.35,MA,1587060000
243,Muroto-misakicho,33.2833,134.15,58.32,63,3,7.72,JP,1587060000
244,Provost,52.3501,-110.2683,31.98,70,31,6.64,CA,1587060000
245,Navoiy,40.0844,65.3792,61.27,44,1,5.64,UZ,1587060000
246,San Jerónimo,-11.9472,-75.2829,59.45,21,87,5.3,PE,1587060000
247,Kawalu,-7.3817,108.2082,74.57,82,32,0.49,ID,1587060000
248,Ugoofaaru,5.6667,73.0,85.77,68,29,7.58,MV,1587060000
249,Gobabis,-22.45,18.9667,74.73,13,0,4.32,NA,1587060000
250,Hobyo,5.3505,48.5268,84.97,71,5,14.09,SO,1587060000
251,Tiksi,71.6872,128.8694,-7.64,90,100,6.69,RU,1587060000
252,Nyurba,63.2842,118.3319,9.39,93,23,5.08,RU,1587060000
253,Bonfim,3.0833,-59.95,95.09,30,28,0.89,BR,1587060000
254,Zhuanghe,39.7008,122.9911,51.49,93,100,22.15,CN,1587060000
255,Suba,10.8438,121.0102,84.22,78,7,17.92,PH,1587060000
256,Petatlán,17.5167,-101.2667,87.76,35,7,6.69,MX,1587060000
257,Kanye,-24.9667,25.3327,63.7,17,0,8.7,BW,1587060000
258,Mogadishu,2.0371,45.3438,84.27,75,72,14.67,SO,1587060000
259,Mae Hong Son,19.3003,97.9685,75.56,32,52,1.77,TH,1587060000
260,Talcahuano,-36.7167,-73.1167,64.15,65,78,6.13,CL,1587060000
261,Diamantino,-14.4086,-56.4461,82.22,60,22,6.2,BR,1587060000
262,Mattru,7.6244,-11.8332,88.83,59,70,5.59,SL,1587060000
263,Curup,-3.4667,102.5333,70.12,79,100,2.3,ID,1587060000
264,Dongsheng,39.8161,109.9776,39.02,35,1,9.55,CN,1587060000
265,Lüleburgaz,41.4039,27.3592,46.04,73,0,5.55,TR,1587060000
266,Oktyabr'skiy,54.4815,53.471,39.78,68,100,9.15,RU,1587060000
267,Souillac,-20.5167,57.5167,76.12,69,19,18.37,MU,1587060000
268,Buala,-8.145,159.5921,78.1,86,98,1.07,SB,1587060000
269,Sumbawanga,-7.9667,31.6167,61.25,55,89,2.06,TZ,1587060000
270,Maraã,-1.8333,-65.3667,89.17,62,80,3.29,BR,1587060000
271,Vao,-22.6667,167.4833,74.39,66,90,10.09,NC,1587060000
272,Glens Falls,43.3095,-73.644,42.57,54,62,12.28,US,1587060000
273,Bolobo,-2.1667,16.2333,83.1,61,94,3.49,CD,1587060000
274,Bandarbeyla,9.4942,50.8122,82.56,75,4,12.01,SO,1587060000
275,Mocuba,-16.8392,36.9856,76.39,79,0,6.67,MZ,1587060000
276,Pevek,69.7008,170.3133,10.36,96,100,2.64,RU,1587060000
277,Aripuanã,-9.1667,-60.6333,78.35,88,98,3.15,BR,1587060000
278,Viranşehir,37.2353,39.7631,57.4,51,13,2.26,TR,1587060000
279,Lorengau,-2.0226,147.2712,83.16,69,98,4.52,PG,1587060000
280,Hofn,64.2539,-15.2082,45.36,70,77,6.58,IS,1587060000
281,Santander,43.4647,-3.8044,61.45,66,99,12.33,ES,1587060000
282,Mayo,38.8876,-76.5119,50.07,47,26,13.91,US,1587060000
283,Chardara,41.2547,67.9692,56.98,55,0,5.95,KZ,1587060000
284,Miyako,39.6367,141.9525,37.49,76,1,4.45,JP,1587060000
285,Veshenskaya,49.6303,41.7334,47.71,61,99,19.82,RU,1587060000
286,Boden,65.8252,21.6886,35.6,93,5,5.1,SE,1587060000
287,San Rafael del Sur,11.8485,-86.4384,94.17,29,31,15.17,NI,1587060000
288,Ahipara,-35.1667,173.1667,64.63,85,99,14.61,NZ,1587060000
289,Slavyanka,42.8633,131.3847,40.89,89,47,7.16,RU,1587060000
290,Todos Santos,23.45,-110.2167,77.05,36,92,4.97,MX,1587060000
291,Xichang,27.8964,102.2634,61.56,36,53,3.18,CN,1587060000
292,Jijiga,9.35,42.8,69.55,48,94,4.9,ET,1587060000
293,Khabez,44.0434,41.772,39.94,63,91,2.86,RU,1587060000
294,Nchelenge,-9.3451,28.734,74.84,60,60,2.1,ZM,1587060000
295,Digapahandi,19.3667,84.5833,82.69,47,26,7.25,IN,1587060000
296,Fort Nelson,58.8053,-122.7002,48.63,52,65,2.04,CA,1587060000
297,Cuiluan,47.72,128.648,40.82,54,84,1.28,CN,1587060000
298,Nemuro,43.3236,145.575,31.64,93,1,8.72,JP,1587060000
299,Beisfjord,68.3751,17.5988,29.7,94,80,3.8,NO,1587060000
300,Linqiong,30.4159,103.4609,73.27,49,99,4.16,CN,1587060000
301,Hasaki,35.7333,140.8333,51.39,67,100,14.16,JP,1587060000
302,Kutum,14.2,24.6667,70.18,10,0,10.04,SD,1587060000
303,Kawambwa,-9.7915,29.0791,66.78,64,51,4.25,ZM,1587060000
304,Tiarei,-17.5333,-149.3333,82.54,71,17,6.6,PF,1587060000
305,Kupang,-10.1667,123.5833,81.59,79,91,8.99,ID,1587060000
306,Traralgon,-38.1833,146.5333,52.07,65,26,8.79,AU,1587060000
307,Madang,-5.2246,145.7966,78.48,80,74,3.2,PG,1587060000
308,Coos Bay,43.3665,-124.2179,59.38,43,12,13.78,US,1587060000
309,Tshikapa,-6.4167,20.8,77.14,71,99,1.41,CD,1587060000
310,Weru,-6.711,108.5037,78.75,80,19,2.68,ID,1587060000
311,Ati,13.2154,18.3353,87.8,9,0,9.62,TD,1587060000
312,Laas,46.6166,10.7002,48.81,38,100,1.36,IT,1587060000
313,Vanimo,-2.6741,141.3028,79.88,77,25,1.54,PG,1587060000
314,Evans,33.5337,-82.1307,69.13,24,15,5.88,US,1587060000
315,Karlskrona,56.1616,15.5866,53.19,52,21,15.68,SE,1587060000
316,Narsaq,60.9167,-46.05,37.17,89,100,3.29,GL,1587060000
317,Port Antonio,18.18,-76.4612,87.51,54,3,10.65,JM,1587060000
318,Raudeberg,61.9875,5.1352,39.74,75,84,13.15,NO,1587060000
319,Rocha,-34.4833,-54.3333,67.77,72,46,13.11,UY,1587060000
320,Kailua,21.4022,-157.7394,74.41,72,3,17.81,US,1587060000
321,Jianhu,29.9799,120.5712,67.48,67,27,6.26,CN,1587060000
322,Alekseyevka,50.6309,38.6903,48.83,73,93,22.84,RU,1587060000
323,Mizque,-17.941,-65.3402,65.93,31,83,7.14,BO,1587060000
324,Boa Vista,2.8197,-60.6733,94.87,33,27,4.94,BR,1587060000
325,Aklavik,68.2191,-135.0107,36.09,98,100,9.33,CA,1587060000
326,Kitimat,54.0524,-128.6534,58.24,49,0,2.17,CA,1587060000
327,Te Anau,-45.4167,167.7167,46.62,80,100,2.35,NZ,1587060000
328,Tsimmerbude,54.675,20.1347,46.35,81,23,9.48,RU,1587060000
329,Birakan,49.0167,131.7,36.36,63,0,1.39,RU,1587060000
330,Sørland,67.667,12.6934,37.44,78,100,28.99,NO,1587060000
331,Visnes,59.3556,5.2242,42.6,70,4,19.82,NO,1587060000
332,Victor Harbor,-35.5667,138.6167,55.15,73,17,9.51,AU,1587060000
333,Kawardha,22.0167,81.25,86.36,19,30,5.23,IN,1587060000
334,Paamiut,61.994,-49.6678,33.55,87,83,26.06,GL,1587060000
335,Kenai,60.5544,-151.2583,38.46,96,100,4.97,US,1587060000
336,Kahului,20.8947,-156.47,74.41,72,25,20.49,US,1587060000
337,Cabo San Lucas,22.8909,-109.9124,75.25,50,100,3.31,MX,1587060000
338,Wankyi,7.7392,-2.1046,89.4,39,2,2.91,GH,1587060000
339,Tautira,-17.7333,-149.15,82.47,71,8,5.57,PF,1587060000
340,Buin,-33.7333,-70.75,81.57,16,0,7.0,CL,1587060000
341,Khovd,48.0056,91.6419,44.94,38,92,4.12,MN,1587060000
342,Charleville-Mézières,49.7667,4.7167,60.6,72,39,3.53,FR,1587060000
343,NEDJO,9.5046,35.5019,69.57,18,0,2.77,ET,1587060000
344,Ordzhonīkīdze,52.4411,61.7408,50.81,43,100,18.41,KZ,1587060000
345,Amapá,1.0,-52.0,89.24,53,100,3.29,BR,1587060000
346,Teya,60.3778,92.6267,31.95,88,5,2.68,RU,1587060000
347,Thompson,55.7435,-97.8558,25.39,92,50,9.66,CA,1587060000
348,Alegrete,-29.7831,-55.7919,72.61,29,0,6.82,BR,1587060000
349,Howard,39.2504,-76.933,49.91,45,47,14.54,US,1587060000
350,Vostok,46.4856,135.8833,29.75,69,0,4.23,RU,1587060000
351,Talnakh,69.4865,88.3972,17.98,90,77,5.46,RU,1587060000
352,Los Negros,-17.7333,-63.4333,85.53,23,10,9.17,BO,1587060000
353,Gmina Lwówek Śląski,51.1107,15.5858,55.49,70,96,5.1,PL,1587060000
354,Hirara,24.8,125.2833,69.96,68,0,12.66,JP,1587060000
355,Mutoko,-17.397,32.2268,68.2,52,18,5.21,ZW,1587060000
356,Leshukonskoye,64.8989,45.7622,33.15,90,92,11.34,RU,1587060000
357,Taoudenni,22.6783,-3.9836,98.08,13,52,10.76,ML,1587060000
358,Bowen,-20.0167,148.2333,74.55,92,33,9.24,AU,1587060000
